Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int64(15458), np.int64(24000000), np.int64(1111870)]",,
+,2.0,0,False,"[np.int64(15458), np.int64(24000000), np.int64(1111870)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,3.0,1,True,"[np.float64(15455.669759060787), np.float64(23999999.86345298), np.float64(1111864.4172539616)]",[1],
+,4.0,2,False,"[np.float64(15455.669759060787), np.float64(23999999.86345298), np.float64(1111864.4172539616)]",[1],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,6.0,3,False,"[np.float64(15455.669759060787), np.float64(23999999.86345298), np.float64(1111864.4172539616)]",[1],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,8.0,4,False,"[np.float64(15455.669759060787), np.float64(23999999.86345298), np.float64(1111864.4172539616)]",[1],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,10.0,5,True,"[np.float64(15424.860215006216), np.float64(23999999.1025045), np.float64(1111720.075360611)]","[1, 5]",
t,10.0,1,False,"[np.float64(15427.19045594543), np.float64(23999999.239051525), np.float64(1097236.6490113116)]",[5],SOLUTION_TYPE.CHANGE_FAILED_FOR_LINK_BAND
t,10.0,5,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1097284.0)]",[],SOLUTION_TYPE.CHANGE_FAILED_FOR_LINK_BAND
-,11.71517796362158,1,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1097284.0)]",[],
+,12.0,6,True,"[np.float64(15428.863446898597), np.float64(23999999.751692522), np.float64(1097116.5049221218)]",[6],
+,13.0,7,False,"[np.float64(15428.863446898597), np.float64(23999999.751692522), np.float64(1097116.5049221218)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,15.0,8,False,"[np.float64(15428.863446898597), np.float64(23999999.751692522), np.float64(1097116.5049221218)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,16.0,9,False,"[np.float64(15428.863446898597), np.float64(23999999.751692522), np.float64(1097116.5049221218)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,20.0,10,False,"[np.float64(15428.863446898597), np.float64(23999999.751692522), np.float64(1097116.5049221218)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,20.0,11,False,"[np.float64(15428.863446898597), np.float64(23999999.751692522), np.float64(1097116.5049221218)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,20.0,6,True,"[np.float64(15428.863446898598), np.float64(23999999.751692522), np.float64(1097156.5474914415)]",[6],
+,22.0,12,False,"[np.float64(15428.863446898598), np.float64(23999999.751692522), np.float64(1097156.5474914415)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,22.0,13,False,"[np.float64(15428.863446898598), np.float64(23999999.751692522), np.float64(1097156.5474914415)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,25.0,14,False,"[np.float64(15428.863446898598), np.float64(23999999.751692522), np.float64(1097156.5474914415)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,25.424239923852326,0,False,"[np.float64(15428.863446898598), np.float64(23999999.751692522), np.float64(1097156.5474914415)]",[6],
-,27.384555663398373,11,False,"[np.float64(15428.863446898598), np.float64(23999999.751692522), np.float64(1097156.5474914415)]",[6],
+,29.0,15,True,"[np.float64(15404.982430964139), np.float64(23999999.24831009), np.float64(1097039.5469970775)]","[6, 15]",
t,30.0,6,True,"[np.float64(15404.982430964139), np.float64(23999999.248310093), np.float64(1088244.7838709361)]","[6, 15]",
t,30.0,15,True,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",
-,30.262183441671482,12,False,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",
-,30.696702791671427,10,False,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",
+,31.0,16,False,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,33.0,17,False,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,36.0,18,False,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,36.20351959105873,3,False,"[np.float64(15404.982430964137), np.float64(23999999.24831009), np.float64(1088219.9340393732)]","[6, 15]",
-,37.41595069587193,15,True,"[np.float64(15428.8634468986), np.float64(23999999.751692522), np.float64(1088330.4658637177)]",[6],
+,38.0,19,False,"[np.float64(15428.8634468986), np.float64(23999999.751692522), np.float64(1088330.4658637177)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,40.0,20,False,"[np.float64(15428.8634468986), np.float64(23999999.751692522), np.float64(1088330.4658637177)]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,40.0,21,True,"[np.float64(15399.726437846664), np.float64(23999999.463775158), np.float64(1088124.3297867267)]","[6, 21]",
t,40.0,6,True,"[np.float64(15399.726437846663), np.float64(23999999.463775158), np.float64(1112477.288283663)]","[6, 21]",
t,40.0,21,True,"[np.float64(15399.726437846664), np.float64(23999999.46377516), np.float64(1112457.2646544313)]","[6, 21]",
+,41.0,22,False,"[np.float64(15399.726437846664), np.float64(23999999.46377516), np.float64(1112457.2646544313)]","[6, 21]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,42.14925908239496,6,True,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1112567.5662408236)]",[21],
-,43.33800047293114,13,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1112567.5662408236)]",[21],
+,44.0,23,True,"[np.float64(15399.827028316517), np.float64(23999999.057593238), np.float64(1112426.0405575237)]","[21, 23]",
+,46.0,24,False,"[np.float64(15399.827028316517), np.float64(23999999.057593238), np.float64(1112426.0405575237)]","[21, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,49.0,25,False,"[np.float64(15399.827028316517), np.float64(23999999.057593238), np.float64(1112426.0405575237)]","[21, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,49.0,26,False,"[np.float64(15399.827028316517), np.float64(23999999.057593238), np.float64(1112426.0405575237)]","[21, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,50.0,21,True,"[np.float64(15399.827028316517), np.float64(23999999.057593238), np.float64(1100537.9561632073)]","[21, 23]",
t,50.0,23,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
-,50.349608835457985,22,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
+,51.0,27,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,51.296325519584535,4,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
+,52.0,28,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,53.446068717120525,9,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
-,53.47410310053825,20,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
-,53.581857410008766,2,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
+,55.0,29,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,55.092053251051894,19,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
-,56.24722026687832,24,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
+,57.0,30,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,59.343497169729226,5,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
-,59.488595821993314,16,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],
+,60.0,31,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1100631.616553257)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,60.0,21,True,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],
-,60.660534784798585,17,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],
+,61.0,32,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,64.0,33,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,67.92715246173431,7,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],
+,68.0,34,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,69.27120703961259,25,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],
-,69.3680189032488,18,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],
+,70.0,35,False,"[np.float64(15428.862990948064), np.float64(23999999.712082636), np.float64(1091377.4913413962)]",[21],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
t,70.0,21,True,"[np.float64(15428.862990948066), np.float64(23999999.712082632), np.float64(1103597.8185768514)]",[21],
-,70.17921860307285,23,False,"[np.float64(15428.862990948066), np.float64(23999999.712082632), np.float64(1103597.8185768514)]",[21],
-,70.31687125993797,8,False,"[np.float64(15428.862990948066), np.float64(23999999.712082632), np.float64(1103597.8185768514)]",[21],
+,71.0,36,True,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",
-,71.30377354040071,14,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",
+,72.0,37,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,73.0,38,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,73.14143361464964,26,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",
+,77.0,39,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,78.0,40,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,78.84943313864164,27,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",
+,79.0,41,False,"[np.float64(15407.4058958834), np.float64(23999999.390742663), np.float64(1103500.9298313784)]","[21, 36]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,80.0,21,True,"[np.float64(15407.4058958834), np.float64(23999999.390742667), np.float64(1096375.113622263)]","[21, 36]",
t,80.0,36,True,"[np.float64(15407.4058958834), np.float64(23999999.390742667), np.float64(1096308.6918991164)]","[21, 36]",
+,82.0,42,False,"[np.float64(15407.4058958834), np.float64(23999999.390742667), np.float64(1096308.6918991164)]","[21, 36]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,82.0,43,True,"[np.float64(15372.335521311003), np.float64(23999998.932205655), np.float64(1096099.4484558986)]","[21, 36, 43]",
+,82.0,44,False,"[np.float64(15372.335521311003), np.float64(23999998.932205655), np.float64(1096099.4484558986)]","[21, 36, 43]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,82.62267755006323,30,False,"[np.float64(15372.335521311003), np.float64(23999998.932205655), np.float64(1096099.4484558986)]","[21, 36, 43]",
-,82.8657316692812,28,False,"[np.float64(15372.335521311003), np.float64(23999998.932205655), np.float64(1096099.4484558986)]","[21, 36, 43]",
+,87.0,45,False,"[np.float64(15372.335521311003), np.float64(23999998.932205655), np.float64(1096099.4484558986)]","[21, 36, 43]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,88.0,46,False,"[np.float64(15372.335521311003), np.float64(23999998.932205655), np.float64(1096099.4484558986)]","[21, 36, 43]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,88.8519853336528,21,True,"[np.float64(15401.472530362937), np.float64(23999999.220123023), np.float64(1096231.155406614)]","[36, 43]",
+,90.0,47,False,"[np.float64(15401.472530362937), np.float64(23999999.220123023), np.float64(1096231.155406614)]","[36, 43]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,90.0,48,False,"[np.float64(15401.472530362937), np.float64(23999999.220123023), np.float64(1096231.155406614)]","[36, 43]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,90.0,43,True,"[np.float64(15401.472530362938), np.float64(23999999.22012302), np.float64(1102709.6208277517)]","[36, 43]",
+,91.0,49,True,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",
+,92.0,50,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,93.0,51,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,94.0,52,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,95.17246727204223,37,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",
-,95.75265943106979,39,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",
-,97.30251503457579,38,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",
+,99.0,53,False,"[np.float64(15383.249045076902), np.float64(23999998.987576112), np.float64(1102657.7364899248)]","[36, 43, 49]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,100.0,36,False,"[np.float64(15404.706140141569), np.float64(23999999.30891608), np.float64(1091197.4839788647)]","[43, 49]",SOLUTION_TYPE.CHANGE_FAILED_FOR_LINK_BAND
t,100.0,43,True,"[np.float64(15404.706140141567), np.float64(23999999.308916077), np.float64(1091146.4359629003)]","[43, 49]",
t,100.0,49,False,"[np.float64(15422.929625427603), np.float64(23999999.541462984), np.float64(1091176.9194058136)]",[43],SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
-,100.58289087449731,31,False,"[np.float64(15422.929625427603), np.float64(23999999.541462984), np.float64(1091176.9194058136)]",[43],
-,101.16619764299178,34,False,"[np.float64(15422.929625427603), np.float64(23999999.541462984), np.float64(1091176.9194058136)]",[43],
-,102.5270820268023,29,False,"[np.float64(15422.929625427603), np.float64(23999999.541462984), np.float64(1091176.9194058136)]",[43],
+,103.0,54,False,"[np.float64(15422.929625427603), np.float64(23999999.541462984), np.float64(1091176.9194058136)]",[43],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,105.0,55,False,"[np.float64(15422.929625427603), np.float64(23999999.541462984), np.float64(1091176.9194058136)]",[43],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,105.62239677260912,43,True,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1091386.0)]",[],
+,108.0,56,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1091386.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,109.0,57,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1091386.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,109.07410635431002,47,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1091386.0)]",[],
-,109.23965318982424,44,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1091386.0)]",[],
+,110.0,58,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1091386.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,110.26482820306866,46,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],
-,111.69746956890035,45,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],
+,114.0,59,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,117.47332722450733,36,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],
+,118.0,60,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,118.00218434111542,53,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],
+,119.0,61,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,120.0,62,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1109270.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,120.50394630352167,32,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1099744.0)]",[],
+,121.0,63,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1099744.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,122.0,64,True,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
-,122.15058096154063,56,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
-,123.30771414029621,33,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
-,123.49226687787899,60,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
-,123.54387648464474,48,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
+,124.0,65,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,124.39242097158558,35,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
+,125.0,66,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,127.0,67,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,127.74965771616635,42,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
-,128.33666711099647,50,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
-,128.9329983946884,52,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],
+,129.0,68,False,"[np.float64(15445.817784611354), np.float64(23999999.637379564), np.float64(1099689.7936322466)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,129.0,69,True,"[np.float64(15438.198511141672), np.float64(23999999.44941979), np.float64(1099658.4440923084)]","[64, 69]",
+,129.0,70,False,"[np.float64(15438.198511141672), np.float64(23999999.44941979), np.float64(1099658.4440923084)]","[64, 69]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,130.0,71,False,"[np.float64(15438.198511141672), np.float64(23999999.44941979), np.float64(1099658.4440923084)]","[64, 69]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
t,130.0,64,True,"[np.float64(15438.19851114167), np.float64(23999999.44941979), np.float64(1107363.8617254517)]","[64, 69]",
t,130.0,69,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
-,132.42598346947088,41,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],
-,133.02362579971523,40,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],
+,135.0,72,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,135.9598411501212,66,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],
+,136.0,73,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,136.0638600438704,61,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],
+,137.0,74,False,"[np.float64(15445.817784611352), np.float64(23999999.637379568), np.float64(1107382.0547911809)]",[64],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,137.0,75,True,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1107302.9276044073)]","[64, 75]",
+,140.0,76,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1107302.9276044073)]","[64, 75]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,140.0,64,True,"[np.float64(15430.637186643531), np.float64(23999999.208068274), np.float64(1112543.6077487676)]","[64, 75]",
t,140.0,75,True,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
-,143.3619807536814,51,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
-,144.64975766267338,69,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
+,145.0,77,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,145.0,78,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,145.22298638289163,55,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
+,148.0,79,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,148.161877397064,49,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
-,148.89278567436818,72,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
-,149.38783267213992,54,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
-,149.3996501843306,73,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
-,149.42413788461027,59,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1112538.4503806732)]","[64, 75]",
+,152.0,80,False,"[np.float64(15430.63718664353), np.float64(23999999.208068274), np.float64(1109576.4503806732)]","[64, 75]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,152.30464576793682,64,True,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1109620.8312203228)]",[75],
-,154.70627984344713,67,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1109620.8312203228)]",[75],
+,155.0,81,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1109620.8312203228)]",[75],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,157.0,82,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1109620.8312203228)]",[75],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,160.23244417834843,57,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1114252.8312203228)]",[75],
+,162.0,83,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1114252.8312203228)]",[75],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,162.15898158023873,68,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1114252.8312203228)]",[75],
-,162.46152071385256,76,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1114252.8312203228)]",[75],
-,162.84635841821014,58,False,"[np.float64(15442.819402032175), np.float64(23999999.57068871), np.float64(1114252.8312203228)]",[75],
-,164.30854140649345,75,True,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1114324.0)]",[],
+,165.0,84,False,"[np.float64(15458.0), np.float64(24000000.0), np.float64(1114324.0)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,165.0,85,True,"[np.float64(15442.400265397173), np.float64(23999999.564657908), np.float64(1114229.8674091734)]",[85],
+,168.0,86,False,"[np.float64(15442.400265397173), np.float64(23999999.564657908), np.float64(1114229.8674091734)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,169.0,87,False,"[np.float64(15442.400265397173), np.float64(23999999.564657908), np.float64(1114229.8674091734)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,170.0,88,False,"[np.float64(15442.400265397173), np.float64(23999999.564657908), np.float64(1114229.8674091734)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,170.0,85,True,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],
-,170.75320028235745,71,False,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],
+,171.0,89,False,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,171.981881265526,78,False,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],
+,172.0,90,False,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,174.0,91,False,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,175.0,92,False,"[np.float64(15442.400265397173), np.float64(23999999.56465791), np.float64(1109747.7578927297)]",[85],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
